A0,A1,A2,A3,A4,"A5,",Emotion,Angl,ValAng,FuzzValue,FuzzStr,rule
A0,A1,A2,A3,A4,"A5,",Emotion,Angl,,,,
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_7,A3,0.3967086629,0.2708674898,M,3.39589113146E-13
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_7,A4,0.4839963263,0.3826284637,S,1.29936460657E-13
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_7,A5,1.1645741644,0.4977211979,M,6.46721308522E-14
S,L,L,M,S,M,,,,,,
M,L,M,M,S,L,,,,,,
M,M,L,L,S,M,,,,,,
S,L,L,L,S,M,,,,,,
M,M,M,L,M,M,,,,,,
S,L,L,M,S,S,,,,,,
S,M,M,M,S,M,,,,,,
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_1,A0,0.9179496957,0.4570245769,S,0.4570245769
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_1,A1,0.3367577656,0.4157571474,L,0.1900112344
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_1,A2,1.265545925,0.3886075105,L,0.0738397927
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_1,A3,0.3967086629,0.2086232823,M,0.0154046999
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_1,A4,0.4839963263,0.4009395213,S,0.006176353
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_1,A5,1.1645741644,0.4334312381,M,0.0026770243
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_2,A0,0.9179496957,0.8316783363,M,0.0022264231
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_2,A1,0.3367577656,0.5612513382,L,0.001249583
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_2,A2,1.265545925,0.2857217646,M,0.0003570331
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_2,A3,0.3967086629,0.7498951883,M,0.0002677374
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_2,A4,0.4839963263,0.5516007184,S,0.0001476841
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_2,A5,1.1645741644,0.5612147232,L,8.28825047654E-05
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_3,A0,0.9179496957,0.3553626482,M,2.94533463826E-05
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_3,A1,0.3367577656,0.4582454828,M,1.34968629326E-05
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_3,A2,1.265545925,0.455611579,L,6.14932703277E-06
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_3,A3,0.3967086629,0.6571946556,L,4.04130486123E-06
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_3,A4,0.4839963263,0.4396520046,S,1.77676778354E-06
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_3,A5,1.1645741644,0.4973920204,M,8.83750117665E-07
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_4,A0,0.9179496957,0.7497330408,S,6.62576663031E-07
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_4,A1,0.3367577656,0.5108888189,L,3.38503008782E-07
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_4,A2,1.265545925,0.4849925277,L,1.64171429847E-07
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_4,A3,0.3967086629,0.5043524428,L,8.28002616865E-08
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_4,A4,0.4839963263,0.7646184902,S,6.33106110749E-08
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_4,A5,1.1645741644,0.7418602155,M,0.000000047
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_5,A0,0.9179496957,0.3144400583,M,1.47685022957E-08
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_5,A1,0.3367577656,0.4420496268,M,6.52841092779E-09
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_5,A2,1.265545925,0.7950433765,M,5.19036986738E-09
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_5,A3,0.3967086629,0.540847549,L,2.80719882109E-09
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_5,A4,0.4839963263,0.4657238418,M,1.30737941975E-09
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_5,A5,1.1645741644,0.4595018978,M,6.0074332448E-10
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_6,A0,0.9179496957,0.9362705367,S,5.62458274824E-10
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_6,A1,0.3367577656,0.8794142361,L,4.94633814071E-10
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_6,A2,1.265545925,0.5019948853,L,2.4830364476E-10
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_6,A3,0.3967086629,0.0619535058,M,1.53832813053E-11
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_6,A4,0.4839963263,1.0136221157,S,1.55928341436E-11
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_6,A5,1.1645741644,0.6088979849,S,9.49444528827E-12
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_7,A0,0.9179496957,0.334470522,S,3.17561207151E-12
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_7,A1,0.3367577656,0.5664027196,M,1.7986753137E-12
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_7,A2,1.265545925,0.6970181734,M,1.25370938166E-12
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_7,A3,0.3967086629,0.2708674898,M,3.39589113146E-13
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_7,A4,0.4839963263,0.3826284637,S,1.29936460657E-13
0.9179496957,0.3367577656,1.265545925,0.3967086629,0.4839963263,1.1645741644,Emo_7,A5,1.1645741644,0.4977211979,M,6.46721308522E-14
S,L,L,M,S,M,,,,,,
M,L,M,M,S,L,,,,,,
M,M,L,L,S,M,,,,,,
S,L,L,L,S,M,,,,,,
M,M,M,L,M,M,,,,,,
S,L,L,M,S,S,,,,,,
S,M,M,M,S,M,,,,,,
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_1,A0,1.0140335567,0.5233771622,M,0.5233771622
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_1,A1,0.3217505544,0.1028435554,M,0.0538259682
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_1,A2,1.2243594303,0.045258961,M,0.0024361074
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_1,A3,0.3915295527,0.30072774,M,0.0007326051
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_1,A4,0.6159851195,0.8797947779,M,0.0006445421
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_1,A5,1.1659045405,0.4217833984,M,0.0002718572
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_2,A0,1.0140335567,0.3170397821,M,8.61895361222E-05
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_2,A1,0.3217505544,0.4208686492,L,3.62744736446E-05
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_2,A2,1.2243594303,0.6175599882,M,2.24016635166E-05
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_2,A3,0.3915295527,0.8364488138,M,1.8737844875E-05
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_2,A4,0.6159851195,0.7798968969,M,1.46135870731E-05
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_2,A5,1.1659045405,0.565082553,L,8.25788309111E-06
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_3,A0,1.0140335567,0.9148684323,M,7.55487655791E-06
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_3,A1,0.3217505544,0.875701764,M,6.61581872856E-06
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_3,A2,1.2243594303,0.0061571389,M,4.07345151436E-08
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_3,A3,0.3915295527,0.6254995761,L,2.54794219561E-08
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_3,A4,0.6159851195,0.9512341314,M,2.4236895814E-08
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_3,A5,1.1659045405,0.4899886634,M,1.18758041847E-08
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_4,A0,1.0140335567,0.4585875932,S,5.44609645859E-09
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_4,A1,0.3217505544,0.3474863126,L,1.89244397625E-09
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_4,A2,1.2243594303,0.3841295506,L,7.2694365409E-10
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_4,A3,0.3915295527,0.475869747,L,3.45930492785E-10
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_4,A4,0.6159851195,0.4367917857,S,1.51099597672E-10
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_4,A5,1.1659045405,0.7509098372,M,1.13462174287E-10
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_5,A0,1.0140335567,0.8845339223,M,1.00361142057E-10
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_5,A1,0.3217505544,0.8680886432,M,8.71223676376E-11
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_5,A2,1.2243594303,0.8977075961,M,7.82104112208E-11
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_5,A3,0.3915295527,0.5153071577,L,4.03023847108E-11
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_5,A4,0.6159851195,0.6973039525,M,2.81030121546E-11
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_5,A5,1.1659045405,0.4516895094,M,1.26938357736E-11
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_6,A0,1.0140335567,0.8002857953,S,1.01586964572E-11
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_6,A1,0.3217505544,0.7299414235,L,7.41525335279E-12
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_6,A2,1.2243594303,0.4229127309,L,3.13600504544E-12
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_6,A3,0.3915295527,0.1542949829,M,4.83869844938E-13
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_6,A4,0.6159851195,0.8358304387,S,4.04433144774E-13
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_6,A5,1.1659045405,0.6070780047,S,2.45522466571E-13
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_7,A0,1.0140335567,0.8236421861,M,2.02222661105E-13
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_7,A1,0.3217505544,0.9690334002,M,1.95960512885E-13
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_7,A2,1.2243594303,0.9929539369,M,1.9457976275E-13
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_7,A3,0.3915295527,0.3374090334,M,6.56529696736E-14
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_7,A4,0.6159851195,0.6850993535,M,4.49788070794E-14
1.0140335567,0.3217505544,1.2243594303,0.3915295527,0.6159851195,1.1659045405,Emo_7,A5,1.1659045405,0.4894312752,M,2.20140349066E-14
M,M,M,M,M,M,,,,,,
M,L,M,M,M,L,,,,,,
M,M,M,L,M,M,,,,,,
S,L,L,L,S,M,,,,,,
M,M,M,L,M,M,,,,,,
S,L,L,M,S,S,,,,,,
M,M,M,M,M,M,,,,,,
1.049325489,0.3144876174,1.2465109236,0.4098534055,0.590228945,1.1395948233,Emo_1,A0,1.049325489,0.8331230273,M,0.8331230273
1.049325489,0.3144876174,1.2465109236,0.4098534055,0.590228945,1.1395948233,Emo_1,A1,0.3144876174,0.3581243952,M,0.2983616803
1.049325489,0.3144876174,1.2465109236,0.4098534055,0.590228945,1.1395948233,Emo_1,A2,1.2465109236,0.3376287371,L,0.1007354773
1.049325489,0.3144876174,1.2465109236,0.4098534055,0.590228945,1.1395948233,Emo_1,A3,0.4098534055,0.2818683446,L,0.0283941422
1.049325489,0.3144876174,1.2465109236,0.4098534055,0.590228945,1.1395948233,Emo_1,A4,0.590228945,0.6783830551,M,0.019262105
1.049325489,0.3144876174,1.2465109236,0.4098534055,0.590228945,1.1395948233,Emo_1,A5,1.1395948233,0.6521328129,M,0.0125614507
1.049325489,0.3144876174,1.2465109236,0.4098534055,0.590228945,1.1395948233,Emo_2,A0,1.049325489,0.0043610218,M,5.47807603192E-05
1.049325489,0.3144876174,1.2465109236,0.4098534055,0.590228945,1.1395948233,Emo_2,A1,0.3144876174,0.3529286034,L,1.93336972341E-05
1.049325489,0.3144876174,1.2465109236,0.4098534055,0.590228945,1.1395948233,Emo_2,A2,1.2465109236,0.4390861406,M,8.48915850256E-06
1.049325489,0.3144876174,1.2465109236,0.4098534055,0.590228945,1.1395948233,Emo_2,A3,0.4098534055,0.5302193994,M,4.50111652288E-06
1.049325489,0.3144876174,1.2465109236,0.4098534055,0.590228945,1.1395948233,Emo_2,A4,0.590228945,0.5364656471,M,2.41469438796E-06
1.049325489,0.3144876174,1.2465109236,0.4098534055,0.590228945,1.1395948233,Emo_2,A5,1.1395948233,0.4885917745,L,1.17979981578E-06
1.049325489,0.3144876174,1.2465109236,0.4098534055,0.590228945,1.1395948233,Emo_3,A0,1.049325489,0.8796231706,M,1.03777925465E-06
1.049325489,0.3144876174,1.2465109236,0.4098534055,0.590228945,1.1395948233,Emo_3,A1,0.3144876174,0.9222647868,M,9.57107263067E-07
1.049325489,0.3144876174,1.2465109236,0.4098534055,0.590228945,1.1395948233,Emo_3,A2,1.2465109236,0.4023597933,L,3.85101480557E-07
1.049325489,0.3144876174,1.2465109236,0.4098534055,0.590228945,1.1395948233,Emo_3,A3,0.4098534055,0.7376377513,L,2.84065390147E-07
1.049325489,0.3144876174,1.2465109236,0.4098534055,0.590228945,1.1395948233,Emo_3,A4,0.590228945,0.7984025966,M,2.26798545095E-07
1.049325489,0.3144876174,1.2465109236,0.4098534055,0.590228945,1.1395948233,Emo_3,A5,1.1395948233,0.636398556,M,1.44334266603E-07
1.049325489,0.3144876174,1.2465109236,0.4098534055,0.590228945,1.1395948233,Emo_4,A0,1.049325489,0.3516488699,S,5.07549817393E-08
1.049325489,0.3144876174,1.2465109236,0.4098534055,0.590228945,1.1395948233,Emo_4,A1,0.3144876174,0.1987001705,M,1.00850235263E-08
1.049325489,0.3144876174,1.2465109236,0.4098534055,0.590228945,1.1395948233,Emo_4,A2,1.2465109236,0.4383770794,L,4.42104315905E-09
1.049325489,0.3144876174,1.2465109236,0.4098534055,0.590228945,1.1395948233,Emo_4,A3,0.4098534055,0.5766424092,L,2.54936097821E-09
1.049325489,0.3144876174,1.2465109236,0.4098534055,0.590228945,1.1395948233,Emo_4,A4,0.590228945,0.5007635944,S,1.27662716676E-09
