Emotion,Angl,ValAng,FuzzValue,FuzzStr
Emo_4,A2,0.898190504096,0.675356574578,M
Emo_4,A3,0.396239344611,0.982584587126,S
Emo_4,A4,0.662366794815,0.6047376847,M
Emo_4,A5,1.18608043292,0.712290676714,L
Emo_4,A0,1.18608043292,0.944076185025,M
Emo_4,A1,0.258761369182,2.90798156496,S
Emo_4,A2,0.898190504096,0.937729769621,S
Emo_4,A3,0.396239344611,2.48437523688,S
Emo_4,A4,0.662366794815,1.66436554711,S
Emo_4,A5,1.18608043292,0.944076185025,M
Emo_5,A0,1.18608043292,0.547330628548,M
Emo_5,A1,0.258761369182,2.09282494701,S
Emo_5,A2,0.898190504096,0.598601475665,M
Emo_5,A3,0.396239344611,1.72144877246,S
Emo_5,A4,0.662366794815,1.00254529652,S
Emo_5,A5,1.18608043292,0.547330628548,M
Emo_5,A0,1.18608043292,1,
Emo_5,A1,0.258761369182,0.618700026926,S
Emo_5,A2,0.898190504096,1,
Emo_5,A3,0.396239344611,0.54048353012,L
Emo_5,A4,0.662366794815,1,
Emo_5,A5,1.18608043292,1,
Emo_5,A0,1.18608043292,0.806074170565,M
Emo_5,A1,0.258761369182,3.3054482098,S
Emo_5,A2,0.898190504096,1.14719465628,S
Emo_5,A3,0.396239344611,2.84142129454,S
Emo_5,A4,0.662366794815,1.94316614205,S
Emo_5,A5,1.18608043292,0.806074170565,M
Emo_5,A0,1.18608043292,1,
Emo_5,A1,0.258761369182,0.767126029058,M
Emo_5,A2,0.898190504096,1,
Emo_5,A3,0.396239344611,0.100544051582,M
Emo_5,A4,0.662366794815,1,
Emo_5,A5,1.18608043292,1,
Emo_5,A0,1.18608043292,1,
Emo_5,A1,0.258761369182,0.700591339857,S
Emo_5,A2,0.898190504096,0.535903828832,L
Emo_5,A3,0.396239344611,0.45461801573,M
Emo_5,A4,0.662366794815,0.701593380826,M
Emo_5,A5,1.18608043292,1,
Emo_5,A0,1.18608043292,0.666605153206,M
Emo_5,A1,0.258761369182,2.03048319641,S
Emo_5,A2,0.898190504096,0.488104620444,M
Emo_5,A3,0.396239344611,1.68745463091,S
Emo_5,A4,0.662366794815,1.02342595867,S
Emo_5,A5,1.18608043292,0.666605153206,M
Emo_6,A0,1.18608043292,0.556792770153,S
Emo_6,A1,0.258761369182,1.86920092901,S
Emo_6,A2,0.898190504096,0.964235155643,S
Emo_6,A3,0.396239344611,1.67463228088,S
Emo_6,A4,0.662366794815,1.29798970919,S
Emo_6,A5,1.18608043292,0.556792770153,S
Emo_6,A0,1.18608043292,1,
Emo_6,A1,0.258761369182,0.82519981826,M
Emo_6,A2,0.898190504096,1,
Emo_6,A3,0.396239344611,1,
Emo_6,A4,0.662366794815,1,
Emo_6,A5,1.18608043292,1,
Emo_6,A0,1.18608043292,0.201503718897,M
Emo_6,A1,0.258761369182,2.90791422171,S
Emo_6,A2,0.898190504096,0.535262735385,M
Emo_6,A3,0.396239344611,2.37155111565,S
Emo_6,A4,0.662366794815,1.33326883549,S
Emo_6,A5,1.18608043292,0.201503718897,M
Emo_6,A0,1.18608043292,1,
Emo_6,A1,0.258761369182,0.534089780196,S
Emo_6,A2,0.898190504096,1,
Emo_6,A3,0.396239344611,0.535160632132,M
Emo_6,A4,0.662366794815,1,
Emo_6,A5,1.18608043292,1,
Emo_6,A0,1.18608043292,0.89774659716,M
Emo_6,A1,0.258761369182,1.31701833428,S
Emo_6,A2,0.898190504096,0.455693857635,S
Emo_6,A3,0.396239344611,1.1318326135,S
Emo_6,A4,0.662366794815,0.773353347774,S
Emo_6,A5,1.18608043292,0.89774659716,M
Emo_6,A0,1.18608043292,0.579476996254,S
Emo_6,A1,0.258761369182,1.84806729242,S
Emo_6,A2,0.898190504096,0.973315950235,S
Emo_6,A3,0.396239344611,1.65999478061,S
Emo_6,A4,0.662366794815,1.29592731551,S
Emo_6,A5,1.18608043292,0.579476996254,S
Emo_7,A0,1.18608043292,0.530104398463,M
Emo_7,A1,0.258761369182,2.12308269628,S
Emo_7,A2,0.898190504096,0.536056905739,M
Emo_7,A3,0.396239344611,1.75005609575,S
Emo_7,A4,0.662366794815,1.02795775419,S
Emo_7,A5,1.18608043292,0.530104398463,M
Emo_7,A0,1.18608043292,1,
Emo_7,A1,0.258761369182,0.727785338765,S
Emo_7,A2,0.898190504096,1,
Emo_7,A3,0.396239344611,0.641927428208,L
Emo_7,A4,0.662366794815,1,
Emo_7,A5,1.18608043292,1,
Emo_7,A0,1.18608043292,0.866000714709,M
Emo_7,A1,0.258761369182,2.20512566197,S
Emo_7,A2,0.898190504096,0.743383892982,S
Emo_7,A3,0.396239344611,1.89084955532,S
Emo_7,A4,0.662366794815,1.28247938793,S
Emo_7,A5,1.18608043292,0.866000714709,M
Emo_7,A0,1.18608043292,1,
Emo_7,A1,0.258761369182,0.478388373707,M
Emo_7,A2,0.898190504096,1,
Emo_7,A3,0.396239344611,0.63844866073,M
Emo_7,A4,0.662366794815,1,
Emo_7,A5,1.18608043292,1,
Emo_7,A0,1.18608043292,0.972317598552,L
Emo_7,A1,0.258761369182,0.859539688957,S
Emo_7,A2,0.898190504096,0.245406883795,M
Emo_7,A3,0.396239344611,0.568444600767,S
Emo_7,A4,0.662366794815,0.992447960008,M
Emo_7,A5,1.18608043292,0.972317598552,L
Emo_7,A0,1.18608043292,0.681854999284,M
Emo_7,A1,0.258761369182,2.01650091732,S
Emo_7,A2,0.898190504096,0.453971542503,S
Emo_7,A3,0.396239344611,1.68055536328,S
Emo_7,A4,0.662366794815,1.03023786024,S
Emo_7,A5,1.18608043292,0.681854999284,M
Emo_1,A0,1.06813858268,0.999119730328,M
Emo_1,A1,0.283480959789,2.38513687376,S
Emo_1,A2,0.973416334016,0.583446473695,M
Emo_1,A3,0.486070532258,1.76947935782,S
Emo_1,A4,0.643944174781,1.28971086132,S
Emo_1,A5,1.06813858268,0.999119730328,M
Emo_1,A0,1.06813858268,1,
Emo_1,A1,0.283480959789,0.776020115388,M
Emo_1,A2,0.973416334016,1,
Emo_1,A3,0.486070532258,1,
Emo_1,A4,0.643944174781,1,
Emo_1,A5,1.06813858268,1,
Emo_1,A0,1.06813858268,0.759721024032,M
Emo_1,A1,0.283480959789,3.27943666441,S
Emo_1,A2,0.973416334016,0.576090577044,S
Emo_1,A3,0.486070532258,2.48563807322,S
Emo_1,A4,0.643944174781,1.86704811573,S
Emo_1,A5,1.06813858268,0.759721024032,M
Emo_1,A0,1.06813858268,1,
Emo_1,A1,0.283480959789,0.469545525625,S
Emo_1,A2,0.973416334016,1,
Emo_1,A3,0.486070532258,0.654552475374,L
Emo_1,A4,0.643944174781,1,
Emo_1,A5,1.06813858268,1,
Emo_1,A0,1.06813858268,1,
Emo_1,A1,0.283480959789,0.946503470993,S
Emo_1,A2,0.973416334016,0.857249056052,L
